,Review,Review By,Review Date
0,"Good SUV But Engine Makes Lot Of NoisesBought the Jeep Compass sport in august 2018. From Khatwani motors, Jabalpur. It is more of an SUV than a soft-roader. It has patchy dynamics but is a well-finished model with good off-road capabilities. The 4x2 mode has a good off road capabilities. Whereas the 4x4 has excellent off-road capabilities. The departure angle is excellent. The only iss...Read More",By karan khanna,"On: Oct 08, 2019  | 5021 Views"
1,"Excellent car.It's a great car. I have a Jeep Compass 2018 is a limited manual car. It was my dream to own. Till date, I haven't faced any problem. The power, handling, luxury feel, everything you get it for 20-25 lakhs is absolutely insane. More than that it's really suited to Indian road conditions. I never felt lethargic even after driving for 600+ km per day...Read More",By raj,"On: Dec 02, 2019  | 378 Views"
2,"Excellent SUVJeep Compass is the most efficient car, elegantly designed, and most powerful car in this segment, compared to Harrier, Creta this is the most efficient and it's the best value for money. Excellent driving experience with all the necessary features required in this segment of car. If any confusion with similar cars, just go and get jeep compass bli...Read More",By sougata sen,"On: Sep 22, 2019  | 178 Views"
3,Not satisfied.Too many issues with the clutch plates and 2.0 liters Fiat-sourced diesel engine is problematic and compelled me to get the clutch plates changed twice in just 4000kms.,By vedant,"On: Dec 07, 2019  | 73 Views"
4,"Value for money.Its been nearly 2 years of my Jeep Compass limited edition and I must say, it's just a completely fantastic car. The features are very good. Loved this car and its value for money. Maintenance is a bit high but the person who buys 5 seaters in this range does not feel it so.Read More",By anonymous,"On: Dec 03, 2019  | 183 Views"
5,"Best Car PerformanceJeep Compass is a nice car loaded with more features cost is less, the interior looks very nice. Suitable in price best off-roading car, compact SUV, the car of the year, all segments colours looking very nice, engine very nice &#x1f44d;&#x1f44d;&#x1f44d; , more powerful car, it is an also adventure car for off-roading, teren management system is v...Read More",By rachit attreya,"On: Oct 13, 2019  | 103 Views"
6,"Poor Build QualityI purchased Jeep Compass Limited Plus on 1st of July 2019 and within 15 days (vehicle has not even driven 500km out of which 300km on first day) lot of annoying sounds audible from the sunroof, dashboard, doors (maybe from C-pillar) and now from suspension. Read More",By dr jaipal singh ,"On: Oct 08, 2019  | 199 Views"
7,Great car so far.Jeep Compass is a great car because the dimensions of the car look brilliant and the pick-up of the car is tremendous.,By ravneet singh,"On: Dec 04, 2019  | 54 Views"
8,Service issuesThe car has very high service costs and also requires regular service. It costs me 2 lacs plus in last 12 months. I would not suggest buying this as this cost is not justified with the performance of the car. Complaints are not monitored by the company. They really don't care for your concern.Read More,By yash ganatra,"On: Nov 22, 2019  | 147 Views"
9,My Best Car.Jeep Compass is a most likely car I drown till know. It is superb I mostly like is comfort I was driving to Kerala from my place I had not to feel tired at all.,By ravindra,"On: Sep 10, 2019  | 63 Views"
10,"The Most Complete SUVJeep Compass is an excellent SUV which scores on safety features and excellent all-round performance. Jeep Compass is an excellent highway cruiser. Jeep Compass comes with safety features such as traction control, rollover mitigation, ESP, Electronic Parking Brake, Hill Assist, Hill Descent Control as standard. Jeep compass build quality, interior ...Read More",By vineet sharma,"On: Jul 14, 2019  | 3711 Views"
