,Review,Review By,Review Date
0,"My Road Trip experience with MG Hector.I had planned a road trip with some of my friends last week. I have an MG Hector Sharp Hybrid 1.5. Drove the car from Raipur to Jagdalpur without stopping anywhere, that's approximately 300Kms. The mileage was 13.5 kmpl. We stopped for an hour and continued our trip to Danteshwari, then to Chitrakoot waterfalls, then back to Jagdalpur, then we retu...Read More",By supratik upadhyay,"On: Dec 23, 2019  | 5108 Views"
1,"Least Price - Best FacilitiesThis is one of the best cars in this price which offers lots of facilities such as sunroof and large 10inch infotainment system, large boot space, precious look and this 5 seater SUV is the best option in price range of (20L- 30L) You can experience many things in this car which you could find in high segment cars. So, ""BUY MG HECTOR AND NEVER REGR...Read More",By saurabh papinwar,"On: Dec 26, 2019  | 444 Views"
2,Comfortable car The MG car is very good and comfortable and the mileage of the car is too good and the interior of the car is nice and it looks like premium ,By hiren barot,"On: Dec 27, 2019  | 93 Views"
3,Excellent car .I had used the MG Hector car. It is a good car. It had an excellent car service The seats are so comfortable. The car goes smoother for a long ride last yesterday I went to Madurai and it gave a good performance. The internet service of the car was very excellent as it has a GPS navigator which gave ease for me to go to an area.Read More,By suriyakumar t,"On: Dec 26, 2019  | 206 Views"
4,Good car.Very nice drive and safety. I like it and it is my favourite car. Nice look and interior is also nice.,By vel vel,"On: Dec 26, 2019  | 55 Views"
5,A great experience.I bought this car a few weeks ago and the performance of the car according to me was excellent and the interiors were elegant.,By inderpreet gujral,"On: Dec 26, 2019  | 38 Views"
6,"The best car in this budget rangeMG Hector is the best car, and the best intelligence technologies have used in this car. The brand has launched a very best car in this segment. Also, this car has very good torque and futuristic feature in an affordable price range. This car should get the best car award.Read More",By arav bhardwaj,"On: Dec 24, 2019  | 168 Views"
7,"Super car.Great car with the great experience of driving. Great space, awesome boot space, and leg space. ",By kafil,"On: Dec 24, 2019  | 27 Views"
8,Amazing car.Amazing car and the interiors and exteriors are wonderful. It also has voice command.,By love singh,"On: Dec 23, 2019  | 41 Views"
9,Satifying comfort.I bought sharp at diesel and it is very satisfying to buy this car right now or you will regret it buy it now mg Hector is a nice car and it is the only car that is bigger than Audi q5 You should buy it and even lower models are very satisfying. I have an Audi a4 30tfsi 2017 model And it is smaller than MG Hector top model.Read More,By the mythical gamer,"On: Dec 22, 2019  | 229 Views"
